periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Pré-Evento,2019071341459013837,2026-02-04 15:31:34+00:00,2026-02-06 12:18:50,"@hogopaiva @acgfbr fico me perguntando se seria possível fazer um marketing clássico por meio desses emails, no estilo das sales letters antigas msm. o custo de envio é infinitamente mais baixo do q anúncios, então qualquer conversão já dá lucro, oq compensa a taxa de abertura baixa",fico me perguntando se seria possível fazer um marketing clássico por meio desses emails  no estilo das sales letters antigas msm  o custo de envio é infinitamente mais baixo do q anúncios  então qualquer conversão já dá lucro  oq compensa a taxa de abertura baixa,264,Negativo,-0.24,50,50,"Impostos, Preços",22,0,0,2,4.0
Pré-Evento,2019080709055340673,2026-02-04 16:08:48+00:00,2026-02-06 12:18:50,"@armeninho012 @Centraldoocec O Atletico faturou em 2024 680 milhões, recorde absoluto de Minas e quase o dobro do segundo colocado. 
EM 2025 FATUROU MAIS POIS VENDEU PUBLICIDADE, E FEZ VÁRIOS EVENTOS NA ARENA. 
JÁ TE FALEI, ESSA É A DIFERENÇA DE TER CASA. 
COMO VC ACHA QUE A MINAS ARENA FATURA NO MINEIRÃO.",o atletico faturou em 2024 680 milhões  recorde absoluto de minas e quase o dobro do segundo colocado  em 2025 faturou mais pois vendeu publicidade  e fez vários eventos na arena  já te falei  essa é a diferença de ter casa  como vc acha que a minas arena fatura no mineirão,274,Neutro,0.0,50,50,Geral,15,0,0,1,2.0
Pré-Evento,2019373460548673840,2026-02-05 11:32:05+00:00,2026-02-06 12:18:50,"@plarajeirass @welfare_flu Obrigado pela audiência Mané, depois não entende porque o Flamengo fatura milhões em publicidade, patrocínio e TV.",obrigado pela audiência mané  depois não entende porque o flamengo fatura milhões em publicidade  patrocínio e tv,113,Neutro,0.0,50,40,Geral,15,0,0,0,0.0
Evento,2019399114056990902,2026-02-05 13:14:02+00:00,2026-02-06 12:18:50,"@SidnelsonEu Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Evento,2019399434111762861,2026-02-05 13:15:18+00:00,2026-02-06 12:18:50,"@ThayzzySmith Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Evento,2019399493754712412,2026-02-05 13:15:32+00:00,2026-02-06 12:18:50,"@chatopalestra Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Pós-Evento,2019399780145983703,2026-02-05 13:16:40+00:00,2026-02-06 12:18:50,"@Torren__ Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Pós-Evento,2019416667462463857,2026-02-05 14:23:47+00:00,2026-02-06 12:18:50,"@FerrazMaf @JoaquinTeixeira Não, é pior.  É verba de publicidade estatal.  DINHEIRO DE IMPOSTO DIRETO pra conta deles.",não  é pior  é verba de publicidade estatal  dinheiro de imposto direto pra conta deles,87,Negativo,-0.6,50,40,Impostos,15,4,0,0,4.0
Pós-Evento,2019442086840271263,2026-02-05 16:04:47+00:00,2026-02-06 12:18:50,"Google Ads em 2026: a IA ""aprende"" com o seu dinheiro e o Google fatura com a intenção desqualificada. O incentivo econômico da plataforma nunca foi filtrar melhor o clique, mas sim inflar o leilão. Para PMEs sem caixa infinito, o Ads virou custo estrutural e não estratégia. https://t.co/HFkiIqiLnh",google ads em 2026  a ia  aprende  com o seu dinheiro e o google fatura com a intenção desqualificada  o incentivo econômico da plataforma nunca foi filtrar melhor o clique  mas sim inflar o leilão  para pmes sem caixa infinito  o ads virou custo estrutural e não estratégia,274,Positivo,0.42,50,30,"Google_Ads, Preços",32,0,0,0,0.0
Pós-Evento,2019442520980091000,2026-02-05 16:06:31+00:00,2026-02-06 12:18:50,"O fim da ilusão estratégica no Google Ads: em 2026, dominar a ferramenta é commodity. O diferencial real é o fôlego financeiro para suportar o aprendizado da máquina. Se o seu CAC não fecha no curto prazo, você não está investindo, está pagando imposto de visibilidade. https://t.co/CF6sjKHbL4",o fim da ilusão estratégica no google ads  em 2026  dominar a ferramenta é commodity  o diferencial real é o fôlego financeiro para suportar o aprendizado da máquina  se o seu cac não fecha no curto prazo  você não está investindo  está pagando imposto de visibilidade,268,Neutro,-0.16,50,30,"Google_Ads, Impostos",25,0,0,0,0.0
