periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Evento,sim_Eve_0001,2026-01-01 20:00:00,2026-02-24 23:13:59,Google Ads virou exploração com esse imposto de 2026,google ads virou exploração com esse imposto de 2026,52,Negativo,-0.618,41.6,41.1,"Meta_Ads, Impostos, Preços",68,100,29,21,185.5
Evento,sim_Eve_0002,2026-01-01 21:00:00,2026-02-24 23:13:59,"Google Ads subiu 15% só de imposto, inadmissível","google ads subiu 15% só de imposto, inadmissível",48,Negativo,-0.381,28.3,60.3,"Impostos, Aumento_Custos",93,149,36,10,223.0
Evento,sim_Eve_0003,2026-01-01 07:00:00,2026-02-24 23:13:59,CPC do Google Ads disparou 20% depois da taxa do governo,cpc do google ads disparou 20% depois da taxa do governo,56,Negativo,-0.758,18.3,42.6,"Google_Ads, CPC",64,28,14,18,85.0
Evento,sim_Eve_0004,2026-01-01 13:00:00,2026-02-24 23:13:59,"Instagram Ads subiu demais, nova taxa do governo prejudicou todos","instagram ads subiu demais, nova taxa do governo prejudicou todos",65,Negativo,-0.65,16.8,45.3,Meta_Ads,42,61,27,2,105.5
Evento,sim_Eve_0005,2026-01-01 13:00:00,2026-02-24 23:13:59,Meta Ads implementou a cobrança da nova taxa do governo,meta ads implementou a cobrança da nova taxa do governo,55,Neutro,0.127,52.1,51.8,"Impostos, Aumento_Custos",90,34,0,6,46.0
Evento,sim_Eve_0006,2026-01-01 00:00:00,2026-02-24 23:13:59,"Meta Ads inviável agora, imposto matou o negócio de pequenos anunciantes","meta ads inviável agora, imposto matou o negócio de pequenos anunciantes",72,Negativo,-0.348,16.9,63.8,"Meta_Ads, Impostos, Preços",88,76,4,25,132.0
Evento,sim_Eve_0007,2026-01-01 08:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads agora incluem nova taxa na fatura,google ads e meta ads agora incluem nova taxa na fatura,55,Neutro,-0.149,50.2,49.8,Meta_Ads,48,13,5,13,46.5
Evento,sim_Eve_0008,2026-01-01 02:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads agora incluem nova taxa na fatura,google ads e meta ads agora incluem nova taxa na fatura,55,Neutro,0.064,47.3,51.8,Governo/Lei,61,41,8,11,75.0
Evento,sim_Eve_0009,2026-01-01 13:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou 30%, essa tributação tá matando as PMEs","facebook ads aumentou 30%, essa tributação tá matando as pmes",61,Negativo,-0.73,43.5,35.9,"Google_Ads, Impostos",82,16,45,17,117.5
Evento,sim_Eve_0010,2026-01-01 13:00:00,2026-02-24 23:13:59,Nova taxa governamental afeta anúncios no Google e Facebook,nova taxa governamental afeta anúncios no google e facebook,59,Neutro,-0.115,54.5,56.8,"Google_Ads, Impostos, Aumento_Custos",84,14,5,13,47.5
Evento,sim_Eve_0011,2026-01-01 18:00:00,2026-02-24 23:13:59,"CPC no Google disparou depois do imposto, insustentável","cpc no google disparou depois do imposto, insustentável",55,Negativo,-0.606,42.6,46.8,"Google_Ads, CPC",88,133,12,9,169.0
Evento,sim_Eve_0012,2026-01-01 06:00:00,2026-02-24 23:13:59,CPC do Google Ads disparou 35% depois da taxa do governo,cpc do google ads disparou 35% depois da taxa do governo,56,Negativo,-0.59,15.3,39.6,"Meta_Ads, Impostos",61,97,36,4,159.0
Evento,sim_Eve_0013,2026-01-01 20:00:00,2026-02-24 23:13:59,Facebook Ads passa a cobrar taxa tributária adicional,facebook ads passa a cobrar taxa tributária adicional,53,Neutro,-0.051,49.8,52.5,Impostos,46,4,11,9,38.5
