periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Pré-Evento,sim_Pré_0001,2025-12-31 00:00:00,2026-02-24 23:13:59,"Instagram Ads subiu demais, nova taxa do governo prejudicou todos","instagram ads subiu demais, nova taxa do governo prejudicou todos",65,Negativo,-0.519,25.4,54.5,Governo/Lei,48,109,48,29,239.0
Pré-Evento,sim_Pré_0002,2025-12-29 00:00:00,2026-02-24 23:13:59,"CPC no Google disparou depois do imposto, insustentável","cpc no google disparou depois do imposto, insustentável",55,Negativo,-0.348,42.9,58.0,"Meta_Ads, Impostos, Preços",50,64,33,19,151.5
Pré-Evento,sim_Pré_0003,2025-12-30 00:00:00,2026-02-24 23:13:59,Novo imposto no Google Ads prejudicou muito meu negócio,novo imposto no google ads prejudicou muito meu negócio,55,Negativo,-0.785,15.0,40.0,"Meta_Ads, Impostos",61,115,35,16,199.5
Pré-Evento,sim_Pré_0004,2025-12-28 00:00:00,2026-02-24 23:13:59,CPC do Google Ads disparou 25% depois da taxa do governo,cpc do google ads disparou 25% depois da taxa do governo,56,Negativo,-0.499,17.8,64.0,"Meta_Ads, Impostos",44,105,42,30,228.0
Pré-Evento,sim_Pré_0005,2025-12-31 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou 20%, essa tributação tá matando as PMEs","facebook ads aumentou 20%, essa tributação tá matando as pmes",61,Negativo,-0.577,44.9,47.0,"Meta_Ads, Impostos, Preços",69,44,12,11,84.0
Pré-Evento,sim_Pré_0006,2025-12-28 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou absurdamente, taxa governamental pesou","facebook ads aumentou absurdamente, taxa governamental pesou",60,Negativo,-0.73,37.8,48.4,Meta_Ads,80,109,46,27,232.0
Pré-Evento,sim_Pré_0007,2025-12-29 00:00:00,2026-02-24 23:13:59,Meta Ads adiciona imposto à cobrança conforme lei de 2026,meta ads adiciona imposto à cobrança conforme lei de 2026,57,Neutro,-0.056,54.5,54.2,"Google_Ads, Impostos, Aumento_Custos",50,19,16,5,53.0
Pré-Evento,sim_Pré_0008,2025-12-31 00:00:00,2026-02-24 23:13:59,"Instagram Ads subiu demais, nova taxa do governo prejudicou todos","instagram ads subiu demais, nova taxa do governo prejudicou todos",65,Negativo,-0.464,15.2,63.9,"Google_Ads, CPC",74,108,33,10,177.5
Pré-Evento,sim_Pré_0009,2025-12-30 00:00:00,2026-02-24 23:13:59,CPC do Google subiu 30% por causa do imposto de 2026,cpc do google subiu 30% por causa do imposto de 2026,52,Negativo,-0.418,32.5,40.9,"Google_Ads, Impostos, Aumento_Custos",90,118,37,19,211.5
Pré-Evento,sim_Pré_0010,2025-12-31 00:00:00,2026-02-24 23:13:59,"Impossível anunciar no Google Ads agora, imposto aumentou muito o custo","impossível anunciar no google ads agora, imposto aumentou muito o custo",71,Negativo,-0.701,15.6,52.0,Impostos,72,34,47,14,132.5
Pré-Evento,sim_Pré_0011,2025-12-28 00:00:00,2026-02-24 23:13:59,Tributação em ads digitais é um tiro no pé do governo,tributação em ads digitais é um tiro no pé do governo,53,Negativo,-0.272,30.0,45.0,"Meta_Ads, Impostos, Preços",49,55,7,16,97.5
Pré-Evento,sim_Pré_0012,2025-12-25 00:00:00,2026-02-24 23:13:59,"Imposto no Google Ads é justo, vai gerar receita para o Brasil","imposto no google ads é justo, vai gerar receita para o brasil",62,Positivo,0.313,81.0,61.2,"Google_Ads, CPC",64,55,25,12,116.5
Pré-Evento,sim_Pré_0013,2025-12-26 00:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads seguem nova lei tributária de 2026,google ads e meta ads seguem nova lei tributária de 2026,56,Neutro,-0.085,45.6,50.9,"Google_Ads, Impostos, Aumento_Custos",90,50,18,12,101.0
Pré-Evento,sim_Pré_0014,2025-12-28 00:00:00,2026-02-24 23:13:59,CPC do Google Ads disparou 35% depois da taxa do governo,cpc do google ads disparou 35% depois da taxa do governo,56,Negativo,-0.229,23.3,58.1,Meta_Ads,87,10,33,13,85.5
Pré-Evento,sim_Pré_0015,2025-12-29 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou absurdamente, taxa governamental pesou","facebook ads aumentou absurdamente, taxa governamental pesou",60,Negativo,-0.403,35.3,44.7,"Impostos, Aumento_Custos",84,123,3,29,185.5
Pré-Evento,sim_Pré_0016,2025-12-31 00:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads seguem nova lei tributária de 2026,google ads e meta ads seguem nova lei tributária de 2026,56,Neutro,0.047,48.2,56.5,"Meta_Ads, Impostos",77,11,20,4,49.0
Pré-Evento,sim_Pré_0017,2025-12-31 00:00:00,2026-02-24 23:13:59,Meta Ads tá um absurdo de caro com essa nova taxa,meta ads tá um absurdo de caro com essa nova taxa,49,Negativo,-0.403,20.3,40.7,"Meta_Ads, Impostos",52,75,42,7,152.0
Pré-Evento,sim_Pré_0018,2025-12-30 00:00:00,2026-02-24 23:13:59,"Tributação em publicidade digital vai ajudar o país, válido","tributação em publicidade digital vai ajudar o país, válido",59,Positivo,0.435,74.0,56.3,Impostos,58,1,16,11,47.0
Pré-Evento,sim_Pré_0019,2025-12-27 00:00:00,2026-02-24 23:13:59,Impossível trabalhar com Google Ads com esse novo imposto,impossível trabalhar com google ads com esse novo imposto,57,Negativo,-0.374,21.9,48.5,Meta_Ads,47,10,3,2,18.5
Pré-Evento,sim_Pré_0020,2025-12-31 00:00:00,2026-02-24 23:13:59,"CPC no Google disparou depois do imposto, insustentável","cpc no google disparou depois do imposto, insustentável",55,Negativo,-0.67,24.3,60.9,"Google_Ads, Impostos",91,148,28,12,214.0
Pré-Evento,sim_Pré_0021,2025-12-29 00:00:00,2026-02-24 23:13:59,Google Ads virou exploração com esse imposto de 2026,google ads virou exploração com esse imposto de 2026,52,Negativo,-0.275,39.0,36.9,Impostos,75,34,6,5,53.0
Pré-Evento,sim_Pré_0022,2025-12-25 00:00:00,2026-02-24 23:13:59,"Tributação em ads digitais era necessária, concordo com a medida","tributação em ads digitais era necessária, concordo com a medida",64,Positivo,0.64,81.9,58.1,"Google_Ads, CPC",67,44,29,19,125.5
Pré-Evento,sim_Pré_0023,2025-12-29 00:00:00,2026-02-24 23:13:59,"Meta Ads inviável agora, imposto matou o negócio de pequenos anunciantes","meta ads inviável agora, imposto matou o negócio de pequenos anunciantes",72,Negativo,-0.695,33.6,59.7,"Meta_Ads, Impostos",50,58,6,26,119.0
Pré-Evento,sim_Pré_0024,2025-12-26 00:00:00,2026-02-24 23:13:59,Revoltado com o aumento no Google Ads por causa desse imposto absurdo,revoltado com o aumento no google ads por causa desse imposto absurdo,69,Negativo,-0.391,23.0,41.0,"Impostos, Aumento_Custos",42,147,41,9,226.5
Pré-Evento,sim_Pré_0025,2025-12-31 00:00:00,2026-02-24 23:13:59,"Meta Ads pagar imposto aqui é justo, apoio a decisão","meta ads pagar imposto aqui é justo, apoio a decisão",52,Positivo,0.589,72.7,57.5,"Google_Ads, Impostos, Aumento_Custos",82,64,27,4,112.5
Pré-Evento,sim_Pré_0026,2025-12-26 00:00:00,2026-02-24 23:13:59,"Apoio o imposto no Google Ads e Meta Ads, Big Techs devem contribuir","apoio o imposto no google ads e meta ads, big techs devem contribuir",68,Positivo,0.799,72.1,71.3,"Google_Ads, Impostos, Aumento_Custos",94,62,11,20,118.5
Pré-Evento,sim_Pré_0027,2025-12-29 00:00:00,2026-02-24 23:13:59,Bom ver o governo finalmente tributando gigantes tech como Google e Meta,bom ver o governo finalmente tributando gigantes tech como google e meta,72,Positivo,0.344,74.4,64.8,Google_Ads,72,77,27,7,131.5
Pré-Evento,sim_Pré_0028,2025-12-25 00:00:00,2026-02-24 23:13:59,"Meta Ads pagar imposto aqui é justo, apoio a decisão","meta ads pagar imposto aqui é justo, apoio a decisão",52,Positivo,0.434,74.3,70.1,Meta_Ads,40,63,10,8,94.0
Pré-Evento,sim_Pré_0029,2025-12-28 00:00:00,2026-02-24 23:13:59,CPC médio subiu 30% após entrada do novo imposto,cpc médio subiu 30% após entrada do novo imposto,48,Neutro,0.034,52.6,45.6,"Meta_Ads, Impostos, Preços",80,5,12,12,47.0
Pré-Evento,sim_Pré_0030,2025-12-28 00:00:00,2026-02-24 23:13:59,"Google Ads ficou caro demais, imposto de 2026 foi um roubo","google ads ficou caro demais, imposto de 2026 foi um roubo",58,Negativo,-0.707,38.8,38.0,"Meta_Ads, Impostos, Preços",86,102,10,3,123.0
Pré-Evento,sim_Pré_0031,2025-12-30 00:00:00,2026-02-24 23:13:59,"Imposto no Google Ads é justo, vai gerar receita para o Brasil","imposto no google ads é justo, vai gerar receita para o brasil",62,Positivo,0.671,77.2,58.7,"Google_Ads, Impostos",45,49,9,14,90.5
Pré-Evento,sim_Pré_0032,2025-12-26 00:00:00,2026-02-24 23:13:59,Imposto em anúncios digitais entrou em vigor hoje no Google Ads,imposto em anúncios digitais entrou em vigor hoje no google ads,63,Neutro,-0.067,50.5,47.4,"Meta_Ads, Impostos, Preços",74,16,7,11,48.5
Pré-Evento,sim_Pré_0033,2025-12-29 00:00:00,2026-02-24 23:13:59,Google Ads ajustou preços devido à nova regulamentação fiscal,google ads ajustou preços devido à nova regulamentação fiscal,61,Neutro,-0.108,53.5,51.2,"Impostos, Aumento_Custos",71,48,3,6,64.5
Pré-Evento,sim_Pré_0034,2025-12-30 00:00:00,2026-02-24 23:13:59,"Imposto em ads digitais vai financiar educação, excelente medida","imposto em ads digitais vai financiar educação, excelente medida",64,Positivo,0.652,62.7,55.6,"Google_Ads, Impostos",88,41,23,1,77.5
Pré-Evento,sim_Pré_0035,2025-12-25 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou absurdamente, taxa governamental pesou","facebook ads aumentou absurdamente, taxa governamental pesou",60,Negativo,-0.381,22.0,43.8,"Google_Ads, CPC",75,118,50,1,195.0
Pré-Evento,sim_Pré_0036,2025-12-29 00:00:00,2026-02-24 23:13:59,Tributação em publicidade online já está valendo no Brasil,tributação em publicidade online já está valendo no brasil,58,Neutro,0.078,54.9,45.6,"Google_Ads, Impostos, Aumento_Custos",62,36,0,4,44.0
