periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Pós-Evento,sim_Pós_0001,2026-01-17 00:00:00,2026-02-24 23:13:59,Tributação de 30% em vigor para publicidade digital,tributação de 30% em vigor para publicidade digital,51,Neutro,0.143,48.4,50.2,Governo/Lei,61,8,4,9,32.0
Pós-Evento,sim_Pós_0002,2026-01-31 00:00:00,2026-02-24 23:13:59,"Impossível anunciar no Google Ads agora, imposto aumentou muito o custo","impossível anunciar no google ads agora, imposto aumentou muito o custo",71,Negativo,-0.579,42.7,61.2,"Impostos, Aumento_Custos",87,111,26,24,198.0
Pós-Evento,sim_Pós_0003,2026-01-13 00:00:00,2026-02-24 23:13:59,Imposto em anúncios já aparece nas faturas de janeiro,imposto em anúncios já aparece nas faturas de janeiro,53,Neutro,-0.145,53.0,48.8,"Impostos, Aumento_Custos",82,29,12,6,59.0
Pós-Evento,sim_Pós_0004,2026-01-30 00:00:00,2026-02-24 23:13:59,"Google Ads ficou caro demais, imposto de 2026 foi um roubo","google ads ficou caro demais, imposto de 2026 foi um roubo",58,Negativo,-0.552,20.7,51.5,"Meta_Ads, Impostos",67,23,28,26,117.0
Pós-Evento,sim_Pós_0005,2026-01-25 00:00:00,2026-02-24 23:13:59,Tributação em publicidade online já está valendo no Brasil,tributação em publicidade online já está valendo no brasil,58,Neutro,-0.126,47.4,49.1,Governo/Lei,52,23,2,14,54.0
Pós-Evento,sim_Pós_0006,2026-01-18 00:00:00,2026-02-24 23:13:59,Meta Ads tá um absurdo de caro com essa nova taxa,meta ads tá um absurdo de caro com essa nova taxa,49,Negativo,-0.686,28.4,52.9,"Google_Ads, Impostos",53,93,9,13,132.5
Pós-Evento,sim_Pós_0007,2026-01-12 00:00:00,2026-02-24 23:13:59,CPC do Google Ads disparou 25% depois da taxa do governo,cpc do google ads disparou 25% depois da taxa do governo,56,Negativo,-0.409,29.7,49.2,"Google_Ads, CPC",46,148,29,19,229.5
Pós-Evento,sim_Pós_0008,2026-01-28 00:00:00,2026-02-24 23:13:59,"Meta Ads pagar imposto aqui é justo, apoio a decisão","meta ads pagar imposto aqui é justo, apoio a decisão",52,Positivo,0.467,78.7,69.3,"Google_Ads, CPC",82,32,15,19,92.5
Pós-Evento,sim_Pós_0009,2026-01-29 00:00:00,2026-02-24 23:13:59,"Instagram Ads subiu demais, nova taxa do governo prejudicou todos","instagram ads subiu demais, nova taxa do governo prejudicou todos",65,Negativo,-0.382,23.5,51.7,Impostos,71,22,26,19,99.0
Pós-Evento,sim_Pós_0010,2026-01-26 00:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads agora incluem nova taxa na fatura,google ads e meta ads agora incluem nova taxa na fatura,55,Neutro,0.069,47.7,48.2,"Meta_Ads, Impostos",40,45,7,12,79.5
Pós-Evento,sim_Pós_0011,2026-01-06 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou 30%, essa tributação tá matando as PMEs","facebook ads aumentou 30%, essa tributação tá matando as pmes",61,Negativo,-0.327,32.0,50.4,"Google_Ads, Impostos",92,9,35,15,91.5
Pós-Evento,sim_Pós_0012,2026-01-04 00:00:00,2026-02-24 23:13:59,"Meta Ads pagar imposto aqui é justo, apoio a decisão","meta ads pagar imposto aqui é justo, apoio a decisão",52,Positivo,0.413,77.1,58.8,Impostos,63,59,16,2,87.0
Pós-Evento,sim_Pós_0013,2026-01-10 00:00:00,2026-02-24 23:13:59,"Facebook Ads subiu 30% por causa da tributação nova, ridículo","facebook ads subiu 30% por causa da tributação nova, ridículo",61,Negativo,-0.401,42.1,61.4,"Meta_Ads, Impostos, Preços",53,148,8,22,204.0
Pós-Evento,sim_Pós_0014,2026-01-18 00:00:00,2026-02-24 23:13:59,Imposto em anúncios digitais entrou em vigor hoje no Google Ads,imposto em anúncios digitais entrou em vigor hoje no google ads,63,Neutro,0.034,46.3,58.7,"Google_Ads, CPC",49,15,5,15,52.5
Pós-Evento,sim_Pós_0015,2026-01-02 00:00:00,2026-02-24 23:13:59,"Imposto no Google Ads é justo, vai gerar receita para o Brasil","imposto no google ads é justo, vai gerar receita para o brasil",62,Positivo,0.385,68.1,55.9,"Meta_Ads, Impostos",84,73,18,9,118.0
Pós-Evento,sim_Pós_0016,2026-01-02 00:00:00,2026-02-24 23:13:59,Google Ads e Meta Ads agora incluem nova taxa na fatura,google ads e meta ads agora incluem nova taxa na fatura,55,Neutro,-0.021,51.4,54.2,"Meta_Ads, Impostos, Preços",81,10,13,7,43.5
Pós-Evento,sim_Pós_0017,2026-01-24 00:00:00,2026-02-24 23:13:59,Google Ads teve aumento de 15% devido ao novo imposto de 2026,google ads teve aumento de 15% devido ao novo imposto de 2026,61,Neutro,-0.105,49.1,60.0,"Meta_Ads, Impostos",41,33,10,12,72.0
Pós-Evento,sim_Pós_0018,2026-01-18 00:00:00,2026-02-24 23:13:59,"Facebook Ads aumentou 30%, essa tributação tá matando as PMEs","facebook ads aumentou 30%, essa tributação tá matando as pmes",61,Negativo,-0.507,31.4,56.6,Google_Ads,64,18,47,20,128.5
Pós-Evento,sim_Pós_0019,2026-01-28 00:00:00,2026-02-24 23:13:59,Meta Ads adiciona imposto à cobrança conforme lei de 2026,meta ads adiciona imposto à cobrança conforme lei de 2026,57,Neutro,-0.067,45.8,50.4,"Meta_Ads, Impostos, Preços",63,34,11,12,74.5
Pós-Evento,sim_Pós_0020,2026-01-18 00:00:00,2026-02-24 23:13:59,"Facebook Ads subiu 15% por causa da tributação nova, ridículo","facebook ads subiu 15% por causa da tributação nova, ridículo",61,Negativo,-0.308,22.6,43.5,"Meta_Ads, Impostos",85,82,40,8,158.0
Pós-Evento,sim_Pós_0021,2026-01-24 00:00:00,2026-02-24 23:13:59,Facebook Ads passa a cobrar taxa tributária adicional,facebook ads passa a cobrar taxa tributária adicional,53,Neutro,0.058,50.5,55.9,Google_Ads,62,26,13,8,61.5
Pós-Evento,sim_Pós_0022,2026-01-16 00:00:00,2026-02-24 23:13:59,"Facebook Ads subiu 15% por causa da tributação nova, ridículo","facebook ads subiu 15% por causa da tributação nova, ridículo",61,Negativo,-0.59,39.2,36.7,Meta_Ads,79,39,15,22,105.5
Pós-Evento,sim_Pós_0023,2026-01-27 00:00:00,2026-02-24 23:13:59,Tributação em ads digitais é um tiro no pé do governo,tributação em ads digitais é um tiro no pé do governo,53,Negativo,-0.399,22.7,44.2,"Google_Ads, Impostos, Aumento_Custos",65,118,32,6,178.0
Pós-Evento,sim_Pós_0024,2026-01-02 00:00:00,2026-02-24 23:13:59,CPC do Google subiu 20% por causa do imposto de 2026,cpc do google subiu 20% por causa do imposto de 2026,52,Negativo,-0.298,27.3,61.7,"Meta_Ads, Impostos",58,144,39,20,242.5
